strategy,symbol,tier,trades,wins,win_rate,profit_factor,total_return_pct,max_dd_pct,avg_hold_days
Williams%R,GOOGL,tier2,5,4,80.0,3.556,2.6,1.0,3.6
Stoch,GOOGL,tier2,3,3,100.0,99.0,3.08,0.0,5.0
MFI,GOOGL,tier2,0,0,0.0,0.0,0.0,0.0,0.0
MACD-Hist,GOOGL,tier2,11,8,72.73,7.08,10.07,1.41,7.7
Donchian-BO,GOOGL,tier2,5,3,60.0,3.482,5.12,1.0,22.6
EMA-10/30,GOOGL,tier2,0,0,0.0,0.0,0.0,0.0,0.0
Keltner,GOOGL,tier2,4,2,50.0,0.651,-0.7,1.94,4.5
ADX-Pullback,GOOGL,tier2,0,0,0.0,0.0,0.0,0.0,0.0
RSI-2,XLF,tier2,11,11,100.0,99.0,4.8,0.0,1.5
BB-MR,XLF,tier2,7,6,85.71,3.857,2.86,1.0,6.4
IBS,XLF,tier2,29,22,75.86,1.954,4.53,1.67,1.6
ConnorsRSI,XLF,tier2,5,4,80.0,7.406,1.11,0.17,3.4
Williams%R,XLF,tier2,9,5,55.56,1.054,0.17,1.23,3.9
Stoch,XLF,tier2,3,3,100.0,99.0,1.85,0.0,5.0
MFI,XLF,tier2,0,0,0.0,0.0,0.0,0.0,0.0
MACD-Hist,XLF,tier2,10,3,30.0,0.548,-2.03,2.06,5.4
Donchian-BO,XLF,tier2,4,2,50.0,0.361,-0.71,1.0,29.2
EMA-10/30,XLF,tier2,4,3,75.0,3.85,1.95,0.68,15.2
Keltner,XLF,tier2,4,4,100.0,99.0,2.23,0.0,7.2
ADX-Pullback,XLF,tier2,0,0,0.0,0.0,0.0,0.0,0.0
RSI-2,META,tier2,6,5,83.33,1.607,0.62,1.0,1.8
BB-MR,META,tier2,2,1,50.0,1.956,0.31,0.32,10.0
IBS,META,tier2,19,9,47.37,1.118,0.41,2.4,2.4
ConnorsRSI,META,tier2,3,2,66.67,0.817,-0.18,1.0,3.3
Williams%R,META,tier2,5,3,60.0,0.873,-0.18,1.0,4.8
Stoch,META,tier2,6,1,16.67,0.089,-3.69,3.94,3.5
MFI,META,tier2,2,0,0.0,0.0,-0.33,0.33,5.0
MACD-Hist,META,tier2,6,2,33.33,0.287,-2.25,2.25,5.8
Donchian-BO,META,tier2,8,2,25.0,0.423,-3.1,5.25,18.2
EMA-10/30,META,tier2,4,1,25.0,0.475,-1.58,2.97,11.2
Keltner,META,tier2,5,1,20.0,0.268,-2.41,2.41,4.8
ADX-Pullback,META,tier2,0,0,0.0,0.0,0.0,0.0,0.0
RSI-2,TSLA,tier2,10,7,70.0,1.086,0.17,1.7,1.5
BB-MR,TSLA,tier2,4,2,50.0,0.685,-0.63,1.0,6.0
